Municipio,Macroregião,Região,IDH,Porte
Abaiara,Cariri,Brejo Santo,Medio,De 10.001 a 20.000 hab.
Acarape,Fortaleza,Maracanaú,Medio,De 10.001 a 20.000 hab.
Acaraú,Sobral,Acaraú,Medio,De 50.001 a 100.000 hab.
Acopiara,Cariri,Iguatú,Baixo,De 50.001 a 100.000 hab.
Aiuaba,Sertão Central,Crateús,Baixo,De 10.001 a 20.000 hab.
Alcântaras,Sobral,Sobral,Medio,De 10.001 a 20.000 hab.
Altaneira,Cariri,Farias Brito,Medio,De 5.001 a 10.000 hab.
Alto Santo,Litoral Leste/Jaguaribe,Limoeiro do Norte,Medio,De 10.001 a 20.000 hab.
Amontada,Fortaleza,Itapipoca,Medio,De 20.001 a 50.000 hab.
Antonina do Norte,Cariri,Farias Brito,Baixo,De 5.001 a 10.000 hab.
Apuiarés,Fortaleza,Caucaia,Medio,De 10.001 a 20.000 hab.
Aquiraz,Fortaleza,Fortaleza,Medio,De 50.001 a 100.000 hab.
Aracati,Litoral Leste/Jaguaribe,Aracati,Medio,De 50.001 a 100.000 hab.
Aracoiaba,Fortaleza,Baturité,Medio,De 20.001 a 50.000 hab.
Ararendá,Sobral,Crateús,Baixo,De 10.001 a 20.000 hab.
Araripe,Cariri,Farias Brito,Baixo,De 20.001 a 50.000 hab.
Aratuba,Fortaleza,Baturité,Medio,De 10.001 a 20.000 hab.
Arneiroz,Sertão Central,Tauá,Medio,De 5.001 a 10.000 hab.
Assaré,Cariri,Farias Brito,Medio,De 20.001 a 50.000 hab.
Aurora,Cariri,Brejo Santo,Medio,De 20.001 a 50.000 hab.
Baixio,Cariri,Icó,Medio,De 5.001 a 10.000 hab.
Banabuiú,Sertão Central,Quixadá,Medio,De 10.001 a 20.000 hab.
Barbalha,Cariri,Juazeiro Norte,Medio,De 50.001 a 100.000 hab.
Barreira,Fortaleza,Maracanaú,Medio,De 20.001 a 50.000 hab.
Barro,Cariri,Brejo Santo,Baixo,De 20.001 a 50.000 hab.
Barroquinha,Sobral,Camocim,Baixo ,De 10.001 a 20.000 hab.
Baturite,Fortaleza,Baturité,Medio,De 20.001 a 50.000 hab.
Beberibe,Fortaleza,Cascavel,Alto,De 50.001 a 100.000 hab.
Bela Cruz,Sobral,Acaraú,Medio,De 20.001 a 50.000 hab.
Boa Viagem,Sertão Central,Canidé,Baixo,De 50.001 a 100.000 hab.
Brejo Santo,Cariri,Brejo Santo,Medio,De 20.001 a 50.000 hab.
Camocim,Sobral,Camocim,Medio,De 50.001 a 100.000 hab.
Campos Sales,Cariri,Farias Brito,Medio,De 20.001 a 50.000 hab.
Canidé,Sertão Central,Canidé,Medio,De 50.001 a 100.000 hab.
Capistrano,Fortaleza,Baturité,Medio,De 10.001 a 20.000 hab.
Caridade,Sertão Central,Canidé,Baixo,De 20.001 a 50.000 hab.
Cariré,Sobral,Sobral,Baixo,De 10.001 a 20.000 hab.
Caririaçu,Cariri,Juazeiro Norte,Baixo,De 20.001 a 50.000 hab.
Cariús,Cariri,Iguatú,Baixo,De 10.001 a 20.000 hab.
Carnaubal,Sobral,Tianguá,Baixo ,De 10.001 a 20.000 hab.
Cascavel,Fortaleza,Cascavel,Medio,De 50.001 a 100.000 hab.
Catarina,Cariri,Iguatú,Medio,De 10.001 a 20.000 hab.
Catunda,Sobral,Sobral,Medio,De 10.001 a 20.000 hab.
Caucaia,Fortaleza,Caucaia,Medio,De 100.001 a 500.000 hab.
Cedro,Cariri,Icó,Medio,De 20.001 a 50.000 hab.
Chaval,Sobral,Camocim,Baixo,De 10.001 a 20.000 hab.
Choró,Sertão Central,Quixadá,Baixo,De 10.001 a 20.000 hab.
Chorozinho,Fortaleza,Cascavel,Medio,De 10.001 a 20.000 hab.
Coreaú,Sobral,Sobral,Medio,De 20.001 a 50.000 hab.
Crateús,Sobral,Crateús,Medio,De 50.001 a 100.000 hab.
Crato,Cariri,Crato,Alto,De 100.001 a 500.000 hab.
Croatá,Sobral,Tianguá,Baixo,De 10.001 a 20.000 hab.
Cruz,Sobral,Acaraú,Medio,De 20.001 a 50.000 hab.
Deputado Irapuan Pinheiro,Cariri,Iguatú,Medio,De 5.001 a 10.000 hab.
Ereré,Litoral Leste/Jaguaribe,Limoeiro do Norte,Medio,De 5.001 a 10.000 hab.
Eusébio,Fortaleza,Fortaleza,Alto,De 20.001 a 50.000 hab.
Farias Brito,Cariri,Farias Brito,Medio,De 10.001 a 20.000 hab.
Forquilha,Sobral,Sobral,Medio,De 20.001 a 50.000 hab.
Fortaleza,Fortaleza,Fortaleza,Medio,Mais de 500.000 hab.
Fortim,Litoral Leste/Jaguaribe,Aracati,Medio,De 10.001 a 20.000 hab.
Frecheirinha,Sobral,Sobral,Medio,De 10.001 a 20.000 hab.
General Sampaio,Fortaleza,Caucaia,Baixo,De 5.001 a 10.000 hab.
Graça,Sobral,Sobral,Baixo,De 10.001 a 20.000 hab.
Granja,Sobral,Camocim,Baixo,De 50.001 a 100.000 hab.
Granjeiro,Cariri,Juazeiro Norte,Baixo,Até 5.000 hab.
Groaíras,Sobral,Sobral,Medio,De 10.001 a 20.000 hab.
Guaiúba,Fortaleza,Maracanaú,Medio,De 20.001 a 50.000 hab.
Guaraciaba Do Norte,Sobral,Tianguá,Medio,De 20.001 a 50.000 hab.
Guaramiranga,Fortaleza,Baturité,Medio,Até 5.000 hab.
Hidrolândia,Sobral,Sobral,Baixo ,De 10.001 a 20.000 hab.
Horizonte,Fortaleza,Cascavel,Medio,De 50.001 a 100.000 hab.
Ibaretama,Sertão Central,Quixadá,Baixo,De 10.001 a 20.000 hab.
Ibiapina,Sobral,Tianguá,Medio,De 20.001 a 50.000 hab.
Ibicuitinga,Sertão Central,Quixadá,Medio,De 10.001 a 20.000 hab.
Icapuí,Litoral Leste/Jaguaribe ,Aracati,Medio,De 10.001 a 20.000 hab.
Ico,Cariri,Icó,Medio,De 50.001 a 100.000 hab.
Iguatu,Cariri,Iguatú,Medio,De 100.001 a 500.000 hab.
Independência,Sobral,Crateús,Medio,De 20.001 a 50.000 hab.
Ipaporanga,Sobral,Crateús,Baixo,De 10.001 a 20.000 hab.
Ipaumirim,Cariri,Icó,Medio,De 10.001 a 20.000 hab.
Ipu,Sobral,Sobral ,Medio,De 20.001 a 50.000 hab.
Ipueiras,Sobral,Crateús,Baixo,De 20.001 a 50.000 hab.
Iracema,Litoral Leste/Jaguaribe,Limoeiro do Norte,Medio,De 10.001 a 20.000 hab.
Irauçuba,Sobral,Sobral,Medio,De 20.001 a 50.000 hab.
Itaiçaba,Litoral Leste/Jaguaribe,Aracati,Medio,De 5.001 a 10.000 hab.
Itaitinga,Fortaleza,Fortaleza,Medio,De 20.001 a 50.000 hab.
Itapajé,Fortaleza,Caucaia,Medio,De 50.001 a 100.000 hab.
Itapipoca,Fortaleza,Itapipoca,Medio,De 100.001 a 500.000 hab.
Itapiúna,Fortaleza,Baturité,Medio,De 10.001 a 20.000 hab.
Itarema,Sobral,Acaraú,Medio,De 20.001 a 50.000 hab.
Itatira,Sertão Central,Canidé,Baixo,De 10.001 a 20.000 hab.
Jaguaretama,Litoral Leste/Jaguaribe,Russas,Medio,De 10.001 a 20.000 hab.
Jaguaribara,Litoral Leste/Jaguaribe,Limoeiro do Norte,Medio,De 10.001 a 20.000 hab.
Jaguaribe,Litoral Leste/Jaguaribe,Limoeiro do Norte,Medio,De 20.001 a 50.000 hab.
Jaguaruana,Litoral Leste/Jaguaribe,Russas,Medio,De 20.001 a 50.000 hab.
Jardim,Cariri,Juazeiro Norte,Medio,De 20.001 a 50.000 hab.
Jati,Cariri,Cariri,Medio,De 5.001 a 10.000 hab.
Jijoca De Jericoacoara,Sobral,Acaraú,Medio,De 10.001 a 20.000 hab.
Juazeiro Do Norte,Cariri,Juazeiro Do Norte,Medio,De 100.001 a 500.000 hab.
Jucás,Cariri,Iguatú,Baixo,De 20.001 a 50.000 hab.
Lavras Da Mangabeira,Cariri,Icó,Medio,De 20.001 a 50.000 hab.
Limoeiro do Norte,Litoral Leste/Jaguaribe,Limoeiro do Norte,Medio,De 50.001 a 100.000 hab.
Madalena,Sertão Central ,Canidé,Medio,De 10.001 a 20.000 hab.
Maracanaú,Fortaleza,Maracanaú,Medio,De 100.001 a 500.000 hab.
Maranguape,Fortaleza,Maracanaú,Medio,De 100.001 a 500.000 hab.
Marco,Sobral,Acaraú,Medio,De 20.001 a 50.000 hab.
Martinópole,Sobral,Camocim,Baixo,De 10.001 a 20.000 hab.
Massapê,Sobral,Sobral,Medio,De 20.001 a 50.000 hab.
Mauriti,Cariri,Brejo Santo,Medio,De 20.001 a 50.000 hab.
Meruoca,Sobral,Sobral,Medio,De 10.001 a 20.000 hab.
Milagres,Cariri,Brejo Santo,Medio,De 20.001 a 50.000 hab.
Milhã,Sertão Central,Quixadá,Medio,De 10.001 a 20.000 hab.
Miraima,Fortaleza,Itapipoca,Baixo,De 10.001 a 20.000 hab.
MisSão Velha,Cariri,Juazeiro Norte,Medio,De 20.001 a 50.000 hab.
Mombaça,Cariri,Iguatú,Baixo,De 20.001 a 50.000 hab.
Monsenhor Tabosa,Sobral,Crateús,Medio,De 10.001 a 20.000 hab.
Morada Nova,Litoral Leste/Jaguaribe,Russas,Medio,De 50.001 a 100.000 hab.
Moraújo,Sobral,Sobral,Baixo,De 5.001 a 10.000 hab.
Morrinhos,Sobral,Acaraú,Baixo ,De 20.001 a 50.000 hab.
Mucambo,Sobral,Sobral,Medio,De 10.001 a 20.000 hab.
Mulungu,Fortaleza,Baturité,Medio,De 10.001 a 20.000 hab.
Nova Olinda,Cariri,Farias Brito,Medio,De 10.001 a 20.000 hab.
Nova Russas,Sobral,Crateús,Medio,De 20.001 a 50.000 hab.
Novo Oriente,Sobral,Crateús,Medio,De 20.001 a 50.000 hab.
Ocara,Fortaleza,Cascavel,Baixo ,De 20.001 a 50.000 hab.
Orós,Cariri,Icó,Medio,De 20.001 a 50.000 hab.
Pacajus,Fortaleza,Cascavel,Medio,De 50.001 a 100.000 hab.
Pacatuba,Fortaleza,Maracanaú,Medio,De 50.001 a 100.000 hab.
Pacoti,Fortaleza,Baturité,Medio,De 10.001 a 20.000 hab.
Pacujá,Sobral,Sobral,Medio,De 5.001 a 10.000 hab.
Palhano,Litoral Leste/Jaguaribe,Russas,Medio,De 5.001 a 10.000 hab.
Palmácia,Fortaleza,Maracanaú,Medio,De 10.001 a 20.000 hab.
Paracuru,Fortaleza, Caucaia,Medio,De 20.001 a 50.000 hab.
Paraipaba,Fortaleza,Caucaia,Medio,De 20.001 a 50.000 hab.
Parambu,Sertão Central,Tauá,Baixo ,De 20.001 a 50.000 hab.
Paramoti,Sertão Central,Canidé,Baixo,De 10.001 a 20.000 hab.
Pedra Branca,Sertão Central,Quixadá,Medio,De 20.001 a 50.000 hab.
Penaforte,Cariri,Brejo Santo,Medio,De 5.001 a 10.000 hab.
Pentecoste,Fortaleza,Caucaia,Medio,De 20.001 a 50.000 hab.
Pereiro,Litoral Leste/Jaguaribe,Limoeiro do Norte,Medio,De 10.001 a 20.000 hab.
Pindoretama,Fortaleza,Cascavel,Medio,De 10.001 a 20.000 hab.
Piquet Carneiro,Cariri,Iguatú,Medio,De 10.001 a 20.000 hab.
Pires Ferreira,Sobral,Sobral,Baixo,De 10.001 a 20.000 hab.
Poranga,Sobral,Crateús,Baixo,De 10.001 a 20.000 hab.
Porteiras,Cariri,Brejo Santo,Medio,De 10.001 a 20.000 hab.
Potengi,Cariri,Farias Brito,Baixo,De 10.001 a 20.000 hab.
Potiretama,Litoral Leste/Jaguaribe,Limoeiro do Norte,Medio,De 5.001 a 10.000 hab.
Quiterianópolis,Sobral,Crateús,Baixo,De 20.001 a 50.000 hab.
Quixadá,Sertão Central,Quixadá,Medio,De 50.001 a 100.000 hab.
Quixelô,Cariri,Iguatú,Baixo,De 10.001 a 20.000 hab.
Quixeramobim,Sertão Central,Quixadá,Medio,De 50.001 a 100.000 hab.
Quixeré,Litoral Leste/Jaguaribe,Limoeiro do Norte,Medio,De 20.001 a 50.000 hab.
Redenção,Fortaleza,Maracanaú,Medio,De 20.001 a 50.000 hab.
Reriutaba,Sobral,Sobral,Medio,De 10.001 a 20.000 hab.
Russas,Litoral Leste/Jaguaribe,Russas,Medio,De 50.001 a 100.000 hab.
Saboeiro,Cariri,Iguatú,Baixo,De 10.001 a 20.000 hab.
Salitre,Cariri,Farias Brito,Baixo,De 10.001 a 20.000 hab.
Santa Quiteria,Sobral,Sobral,Medio,De 20.001 a 50.000 hab.
Santana do Acaraú,Sobral,Sobral ,Baixo,De 20.001 a 50.000 hab.
Santana Do Cariri,Cariri,Farias Brito,Medio,De 10.001 a 20.000 hab.
São Benedito,Sobral,Tianguá,Medio,De 20.001 a 50.000 hab.
São Gonçalo do Amarante,Fortaleza,Caucaia,Medio,De 20.001 a 50.000 hab.
São Joao do Jaguaribe,Litoral Leste/Jaguaribe,Limoeiro do Norte,Medio,De 5.001 a 10.000 hab.
São luís do Curu,Fortaleza,Caucaia,Medio,De 10.001 a 20.000 hab.
Senador Pompeu,Sertão Central,Quixadá,Medio,De 20.001 a 50.000 hab.
Senador Sá,Sobral,Sobral,Medio,De 5.001 a 10.000 hab.
Sobral,Sobral,Sobral,Alto,De 100.001 a 500.000 hab.
Solonópole,Sertão Central,Quixadá,Medio,De 10.001 a 20.000 hab.
Tabuleiro do Norte,Litoral Leste/Jaguaribe,Limoeiro do Norte,Medio,De 20.001 a 50.000 hab.
Tamboril,Sobral,Crateús,Baixo,De 20.001 a 50.000 hab.
Tarrafas,Cariri,Farias Brito,Baixo,De 5.001 a 10.000 hab.
Tauá,Sertão Central,Tauá,Medio,De 50.001 a 100.000 hab.
Tejuçuoca,Fortaleza,Caucaia,Baixo,De 10.001 a 20.000 hab.
Tianguá,Sobral,Tianguá,Medio,De 50.001 a 100.000 hab.
Trairi,Fortaleza,Itapipoca,Medio,De 50.001 a 100.000 hab.
Tururu,Fortaleza,Itapipoca,Medio,De 10.001 a 20.000 hab.
Ubajara,Sobral,Tianguá,Medio,De 20.001 a 50.000 hab.
Umari,Cariri,Icó,Baixo,De 5.001 a 10.000 hab.
Umirim,Fortaleza,Itapipoca,Baixo,De 10.001 a 20.000 hab.
Uruburetama,Fortaleza,Itapipoca,Medio,De 20.001 a 50.000 hab.
Uruoca,Sobral,Sobral,Baixo,De 10.001 a 20.000 hab.
Varjota,Sobral,Sobral,Medio,De 10.001 a 20.000 hab.
Várzea Alegre,Cariri,Farias Brito,Medio,De 20.001 a 50.000 hab.
Viçoosa Do Ceará,Sobral,Tianguá,Baixo,De 50.001 a 100.000 hab.
